iter	Passed	Remaining
0	2	205
1	3	172
2	5	188
3	7	178
4	8	168
5	10	158
6	11	149
7	12	142
8	13	138
9	15	135
10	16	132
11	18	133
12	20	136
13	21	135
14	23	131
15	24	128
16	25	124
17	26	122
18	28	119
19	29	117
20	30	114
21	31	112
22	33	112
23	35	111
24	36	110
25	38	110
26	40	108
27	41	106
28	42	104
29	43	102
30	45	100
31	46	99
32	48	98
33	50	97
34	51	96
35	53	94
36	54	92
37	55	90
38	56	88
39	58	87
40	59	85
41	60	82
42	61	81
43	63	81
44	65	80
45	66	78
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	74	69
52	76	67
53	79	67
54	80	65
55	81	64
56	83	62
57	84	61
58	86	60
59	87	58
60	89	57
61	92	56
62	94	55
63	95	53
64	97	52
65	99	51
66	100	49
67	102	48
68	103	46
69	108	46
70	109	44
71	111	43
72	113	41
73	114	40
74	116	38
75	118	37
76	120	36
77	123	34
78	124	33
79	125	31
80	127	29
81	128	28
82	130	26
83	131	25
84	134	23
85	136	22
86	137	20
87	139	18
88	140	17
89	141	15
90	142	14
91	144	12
92	145	10
93	147	9
94	149	7
95	150	6
96	152	4
97	153	3
98	154	1
99	155	0
